docente,titulo,pais,revista,año,mes,paginas,editorial,DOI,ISSN,URL,volumen,numero,autores,cuartil_revista
RAMOS POLLAN RAUL,AUTOMATIC DETECTION OF BUILDING TYPOLOGY USING DEEP LEARNING METHODS ON STREET LEVEL IMAGES,,,2020,,106805 - 106805,Pergamon-Elsevier Science Ltd,10.1016/j.buildenv.2020.106805,0360-1323,,,,,
RAMOS POLLAN RAUL,BENCHMARKING DATASETS FOR BREAST CANCER COMPUTER-AIDED DIAGNOSIS (CADX),Suiza,LECTURE NOTES IN COMPUTER SCIENCE,2013,,326 - 333,springer verlag,10.1007/978-3-642-41822-8_41,0302-9743,,,,,Q2
RAMOS POLLAN RAUL,CALIBRATION OF THE LOGARITHMIC-PERIODIC DIPOLE ANTENNA (LPDA) RADIO STATIONS AT THE PIERRE AUGER OBSERVATORY USING AN OCTOCOPTER,Ecuador,Technical Report - Cornell University Water Resources And Marine Sciences Center,2017,,1 - 39,,,0197-0526,,,,,
RAMOS POLLAN RAUL,CLASSIFICATION OF ANTIMICROBIAL PEPTIDES WITH IMBALANCED DATASETS,Ecuador,Spie Proceedings Series,2015,,96810 - 968115,,10.1117/12.2207525,1017-2653,,,,,
RAMOS POLLAN RAUL,CLASSIFICATION OF LOW-LEVEL ATMOSPHERIC STRUCTURES BASED ON A PYRAMID REPRESENTATION AND A MACHINE LEARNING METHOD,Uruguay,LECTURE NOTES IN COMPUTER SCIENCE,2015,,19 - 26,springer verlag,10.1007/978-3-319-25751-8_3,0302-9743,,,,,Q2
RAMOS POLLAN RAUL,COMBINED FIT OF SPECTRUM AND COMPOSITION DATA AS MEASURED BY THE PIERRE AUGER OBSERVATORY,Argentina,JOURNAL OF COSMOLOGY AND ASTROPARTICLE PHYSICS,2017,,1 - 42,IOP Publishing Ltd,https://doi.org/10.1088/1475-7516/2017/04/038,1475-7516,,,,,Q2
RAMOS POLLAN RAUL,CONVOLUTIONAL NEURAL NETWORKS FOR MAMMOGRAPHY MASS LESION CLASSIFICATION,Colombia,ANNUAL INTERNATIONAL CONFERENCE OF THE IEEE ENGINEERING IN MEDICINE AND BIOLOGY PROCEEDINGS,2015,,797 - 800,Institute Of Electrical And Electronics Engineers Inc,10.1109/EMBC.2015.7318482,1557-170X,,,,,
RAMOS POLLAN RAUL,CONVOLUTIONAL NEURAL NETWORKS FOR MAMMOGRAPHY MASS LESION CLASSIFICATION,Colombia,ANNUAL INTERNATIONAL CONFERENCE OF THE IEEE ENGINEERING IN MEDICINE AND BIOLOGY PROCEEDINGS,2015,,797 - 800,Institute Of Electrical And Electronics Engineers Inc,10.1109/EMBC.2015.7318482,1557-170X,,,,,
RAMOS POLLAN RAUL,DATA DRIVEN VERTICAL TOTAL ELECTRON CONTENT WORKFLOW FOR GNSS POSITIONING FOR SINGLE FREQUENCY RECEIVERS,Colombia,PROCEEDINGS OF THE IEEE,2016,,1 - 6,Ieee Inst Electrical Electronics Engineers Inc,10.1109/ICL-GNSS.2016.7533862,0018-9219,,,,,Q1
RAMOS POLLAN RAUL,DISCOVERING MAMMOGRAPHY-BASED MACHINE LEARNING CLASSIFIERS FOR BREAST CANCER DIAGNOSIS,Suiza,JOURNAL OF MEDICAL SYSTEMS,2012,,2259 - 2269,Springer New York,10.1007/s10916-011-9693-2,1573-689X,,,,,Q3
RAMOS POLLAN RAUL,DISTRIBUTED CACHE STRATEGIES FOR MACHINE LEARNING CLASSIFICATION TASKS OVER CLUSTER COMPUTING RESOURCES,Suiza,COMMUNICATIONS IN COMPUTER AND INFORMATION SCIENCE,2014,,43 - 53,Springer Science and Business Media Deutschland GmbH,10.1007/978-3-662-45483-1_4,1865-0929,,,,,Q4
RAMOS POLLAN RAUL,ENSEMBLE-BASED APPROACH FOR SEMISUPERVISED LEARNING IN REMOTE SENSING,,Journal of Applied Remote Sensing,2021,aug,,SPIE-Intl Soc Optical Eng,10.1117/1.jrs.15.034509,,https://doi.org/10.1117%2F1.jrs.15.034509,15.0,03,Miguel Plazas and Raúl Ramos-Pollán and Fabio Martínez,Q2
RAMOS POLLAN RAUL,EVIDENCE FOR A MIXED MASS COMPOSITION AT THE ¿ANKLE¿IN THE COSMIC-RAY SPECTRUMPIERRE AUGER COLLABORATION,Colombia,PHYSICS LETTERS B,2016,,288 - 295,Elsevier,https://doi.org/10.1016/j.physletb.2016.09.039,0370-2693,,,,,
RAMOS POLLAN RAUL,EXCHANGING DATA FOR BREAST CANCER DIAGNOSIS ON HETEROGENEOUS GRID PLATFORMS,,COMPUTING AND INFORMATICS,2012,,1001 - 1013,Slovak Academy of Sciences,,1335-9150,,,,,Q4
RAMOS POLLAN RAUL,EXPLORING ALZHEIMER'S ANATOMICAL PATTERNS THROUGH CONVOLUTIONAL NETWORKS,Ecuador,SPIE REVIEWS,2016,,1 -,Spie,http://dx.doi.org/10.1117/12.2256840,1946-3251,,,,,
RAMOS POLLAN RAUL,FEATURE LEARNING USING STACKED AUTOENCODERS TO PREDICT THE ACTIVITY OF ANTIMICROBIAL PEPTIDES,Suiza,LECTURE NOTES IN COMPUTER SCIENCE,2015,,121 - 132,springer verlag,10.1007/978-3-319-23401-4_11,1611-3349,,,,,Q2
RAMOS POLLAN RAUL,GBRAS-NET: A CONVOLUTIONAL NEURAL NETWORK ARCHITECTURE FOR SPATIAL IMAGE STEGANALYSIS,,IEEE Access,2021,,14340--14350,Institute of Electrical and Electronics Engineers (IEEE),10.1109/access.2021.3052494,2169-3536,https://doi.org/10.1109%2Faccess.2021.3052494,9.0,,Tabares-Soto Reinel and Arteaga-Arteaga Harold Brayan and Bravo-Ortiz Mario Alejandro and Mora-Rubio Alejandro and Arias-Garzon Daniel and Alzate-Grisales Jesus Alejandro and Burbano-Jacome Alejandro Buenaventura and Orozco-Arias Simon and Isaza Gustavo and Ramos-Pollan Raul,Q1
RAMOS POLLAN RAUL,GRID INFRASTRUCTURES FOR DEVELOPING MAMMOGRAPHY CAD SYSTEMS,Argentina,ANNUAL INTERNATIONAL CONFERENCE OF THE IEEE ENGINEERING IN MEDICINE AND BIOLOGY PROCEEDINGS,2010,,3467 - 3470,Institute Of Electrical And Electronics Engineers Inc,10.1109/IEMBS.2010.5627832,1557-170X,,,,,
RAMOS POLLAN RAUL,IMPACT OF ATMOSPHERIC EFFECTS ON THE ENERGY RECONSTRUCTION OF AIR SHOWERS OBSERVED BY THE SURFACE DETECTORS OF THE PIERRE AUGER OBSERVATORY,Ecuador,JOURNAL OF INSTRUMENTATION,2017,,1 - 24,IOP Publishing Ltd,http://dx.doi.org/10.1088/1748-0221/12/02/P02006,1748-0221,,,,,Q2
RAMOS POLLAN RAUL,INTRODUCING ROC CURVES AS ERROR MEASURE FUNCTIONS: A NEW APPROACH TO TRAIN ANN-BASED BIOMEDICAL DATA CLASSIFIERS,Suiza,LECTURE NOTES IN COMPUTER SCIENCE,2010,,517 - 524,springer verlag,10.1007/978-3-642-16687-7_68,0302-9743,,,,,Q2
RAMOS POLLAN RAUL,MEASUREMENT OF THE MUON PRODUCTION DEPTHS AT THE PIERRE AUGER OBSERVATORY,Colombia,EUROPEAN PHYSICAL JOURNAL PLUS,2015,,1 - 15,Springer Science + Business Media,https://doi.org/10.1140/epjp/i2016-16301-6,2190-5444,,,,,Q3
RAMOS POLLAN RAUL,MULTI-RESOLUTION ANISOTROPY STUDIES OF ULTRAHIGH-ENERGY COSMIC RAYS DETECTED AT THE PIERRE AUGER OBSERVATORYA AAB,Colombia,JOURNAL OF COSMOLOGY AND ASTROPARTICLE PHYSICS,2017,,1 - 8,IOP Publishing Ltd,https://doi.org/10.1088/issn.1475-7516,1475-7516,,,,,Q2
RAMOS POLLAN RAUL,MUON COUNTING USING SILICON PHOTOMULTIPLIERS IN THE AMIGA DETECTOR OF THE PIERRE AUGER OBSERVATORY,Ecuador,JOURNAL OF INSTRUMENTATION,2017,,1 - 25,IOP Publishing Ltd,http://dx.doi.org/10.1088/1748-0221/12/03/P03002,1748-0221,,,,,Q2
RAMOS POLLAN RAUL,PERSPECTIVAS Y RETOS DE LAS TÉCNICAS DE INTELIGENCIA ARTIFICIAL EN EL ÁMBITO DE LAS CIENCIAS SOCIALES Y DE LA COMUNICACIÓN,Colombia,ANUARIO ELECTRONICO DE ESTUDIOS EN COMUNICACION SOCIAL DISERTACIONES,2020,,3 - 3,Universidad del Rosario,10.12804/revistas.urosario.edu.co/disertaciones/a.7774,1856-9536,,,,,
RAMOS POLLAN RAUL,REPRESENTATION LEARNING FOR MAMMOGRAPHY MASS LESION CLASSIFICATION WITH CONVOLUTIONAL NEURAL NETWORKS,Colombia,COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE,2016,,148 - 157,ELSEVIER IRELAND LTD,https://doi.org/10.1016/j.cmpb.2015.12.014,0169-2607,,,,,Q2
RAMOS POLLAN RAUL,SEARCH FOR PHOTONS WITH ENERGIES ABOVE 1018 EV USING THE HYBRID DETECTOR OF THE PIERRE AUGER OBSERVATORY,,JOURNAL OF COSMOLOGY AND ASTROPARTICLE PHYSICS,2017,,1 - 23,IOP Publishing Ltd,https://doi.org/10.1088/1475-7516/2017/04/009,1475-7516,,,,,Q2
RAMOS POLLAN RAUL,SEARCH FOR ULTRARELATIVISTIC MAGNETIC MONOPOLES WITH THE PIERRE AUGER OBSERVATORY,Colombia,PHYSICAL REVIEW D,2016,,3 - 12,American Physical Society,https://doi.org/10.1103/PhysRevD.94.082002,2470-0010,,,,,Q1
RAMOS POLLAN RAUL,SENSITIVITY OF DEEP LEARNING APPLIED TO SPATIAL IMAGE STEGANALYSIS,,PeerJ Computer Science,2021,aug,e616,PeerJ,10.7717/peerj-cs.616,,https://doi.org/10.7717%2Fpeerj-cs.616,7.0,,Reinel Tabares-Soto and Harold Brayan Arteaga-Arteaga and Alejandro Mora-Rubio and Mario Alejandro Bravo-Ortíz and Daniel Arias-Garzón and Jesús Alejandro Alzate-Grisales and Simon Orozco-Arias and Gustavo Isaza and Raúl Ramos-Pollán,Q2
RAMOS POLLAN RAUL,STRATEGY TO IMPROVE THE ACCURACY OF CONVOLUTIONAL NEURAL NETWORK ARCHITECTURES APPLIED TO DIGITAL IMAGE STEGANALYSIS IN THE SPATIAL DOMAIN,,,2021,,e451 - e460,PeerJ Inc.,10.7717/peerj-cs.451,2376-5992,,,,,
RAMOS POLLAN RAUL,SUPERVISED GREEDY LAYER-WISE TRAINING FOR DEEP CONVOLUTIONAL NETWORKS WITH SMALL DATASETS,Suiza,LECTURE NOTES IN COMPUTER SCIENCE,2015,,275 - 284,springer verlag,10.1007/978-3-319-24069-5_26,0302-9743,,,,,Q2
RAMOS POLLAN RAUL,SYNTHETIC DATA GENERATION WITH DEEP GENERATIVE MODELS TO ENHANCE PREDICTIVE TASKS IN TRADING STRATEGIES,,Research in International Business and Finance,2022,,,,10.1016/j.ribaf.2022.101747,,https://doi.org/10.1016/j.ribaf.2022.101747,,,Daniel Carvajal-Patiño; Raul Ramos-Pollán,Q1
RAMOS POLLAN RAUL,ULTRAHIGH-ENERGY NEUTRINO FOLLOW-UP OF GRAVITATIONAL WAVE EVENTS GW150914 AND GW151226 WITH THE PIERRE AUGER OBSERVATORY,Italia,PHYSICAL REVIEW D,2016,,1 - 10,American Physical Society,https://doi.org/10.1103/PhysRevD.94.122007,2470-0010,,,,,Q1
RAMOS POLLAN RAUL,UNA METODOLOGÍA DE POSICIONAMIENTO COOPERATIVO DIFERENCIAL PARA EL POSICIONAMIENTO DE DISPOSITIVOS MÚLTIPLES,Colombia,INGENIERIA SOLIDARIA,2019,,1 - 29,,10.16925/2357-6014.2019.02.01,1900-3102,,,,,
RAMOS POLLAN RAUL,USE OF DEEP LEARNING MODELS IN STREET-LEVEL IMAGES TO CLASSIFY ONE-STORY UNREINFORCED MASONRY BUILDINGS BASED ON ROOF DIAPHRAGMS,,,2021,,0 - 0,Pergamon-Elsevier Science Ltd,10.1016/j.buildenv.2020.107517,0360-1323,,,,,
RIVERA VELEZ FREDY ALEXANDER,ARQUITECTURA DE DECODIFICADOR DE VIDEO ORIENTADA AL BAJO CONSUMO PARA ACOMPAÑANTES MÓVILES DIGITALES,Colombia,Scientia Et Technica,2009,,369 - 374,Editorial Universidad Tecnológica de Pereira,,0122-1701,,,,,
RIVERA VELEZ FREDY ALEXANDER,"FROM UML SPECIFICATIONS TO MAPPING AND SCHEDULING OF TASKS INTO A NOC, WITH RELIABILITY CONSIDERATIONS",,,2013,,409 - 440,Elsevier,http://dx.doi.org/10.1016/j.sysarc.2013.04.009,1383-7621,,,,,
RIVERA VELEZ FREDY ALEXANDER,"MAPEO ESTÁTICO Y DINÁMICO DE TAREAS EN SISTEMAS MULTIPROCESADOR, BASADOS EN REDES EN CIRCUITO INTEGRADO",Colombia,DYNA,2014,,28 - 35,Universidad Nacional de Colombia,,0012-7353,,,,,
RIVERA VELEZ FREDY ALEXANDER,MAPPING AND SCHEDULING IN HETEROGENEOUS NOC THROUGH POPULATION-BASED INCREMENTAL LEARNING,Austria,JOURNAL OF UNIVERSAL COMPUTER SCIENCE,2012,,901 - 916,"GRAZ UNIV TECHNOLGOY, INST INFORMATION SYSTEMS COMPUTER MEDIA-IICM",http://dx.doi.org/10.3217/jucs-018-07-0901,0948-695X,,,,,Q2
RIVERA VELEZ FREDY ALEXANDER,SCHEDULING METHODOLOGY FOR CONDITIONAL EXECUTION OF KERNELS ONTO MULTI-CONTEXT RECONFIGURABLE ARCHITECTURES,,,2008,,199 - 213,"John Wiley & Sons, Inc.",http://dx.doi.org/10.1049/iet-cdt:20070085,1751-8601,,,,,
SALAZAR SANCHEZ MARIA BERNARDA,ASSESSMENT OF MECHANICALLY VENTILATED PATIENTS INTOXICATED WITH ORGANOPHOSPHATES BY A NOVEL SURFACE ELECTROMYOGRAPHIC INDEX,Inglaterra,JOURNAL OF CRITICAL CARE,2017,,260 - 267,Elsevier Bv,10.1016/j.jcrc.2017.05.022,0883-9441,,,,,Q1
SALAZAR SANCHEZ MARIA BERNARDA,"DISEÑO DE UN PROTOTIPO WEB PORTABLE PARA EL SENSADO, ADQUISICIÓN Y VISUALIZACIÓN DE DIFERENTES SEÑALES VÍA REMOTA",,Encuentro Internacional de Educación en Ingeniería,2020,,,,,,,,,"Agudelo, Juan Camilo Mesa and López, Carolina Rodríguez and Sánchez, María Bernarda Salazar",
SALAZAR SANCHEZ MARIA BERNARDA,EFECTO DEL INCREMENTO DE LA PEEP EN LA ACTIVIDAD MUSCULAR RESPIRATORIA EVALUADO CON ELECTROMIOGRAFÍA DE SUPERFICIE EN INDIVIDUOS SANOS BAJO VENTILACIÓN ESPONTÁNEA,Colombia,IATREIA,2016,,280 - 291,Universidad De Antioquia,http://dx.doi.org/10.17533/udea.iatreia.v29n3a03,0121-0793,,,,,Q4
SALAZAR SANCHEZ MARIA BERNARDA,"EFFECT OF PEEP INCREASE ON RESPIRATORY MUSCLE ACTIVITY ASSESSED THROUGH SURFACE ELECTROMYOGRAPHY IN HEALTHY SUBJECTS DURING SPONTANEOUS BREATHING,EFEITO DO INCREMENTO DA PEEP NA ATIVIDADE MUSCULAR RESPIRATÓRIA AVALIADO COM ELETROMIOGRAFIA DE SUPERFÍCIE EM INDIVÍDUOS SAUDÁVEIS SOB VENTILAÇÃO ESPONTÂNEA,EFECTO DEL INCREMENTO DE LA PEEP EN LA ACTIVIDAD MUSCULAR RESPIRATORIA EVALUADO CON ELECTROMIOGRAFÍA DE SUPERFICIE EN INDIVIDUOS SANOS BAJO VENTILACIÓN ESPONTÁNEA",,Iatreia,2016,,280-291,,,,,29.0,3,"Hernández-Valdivieso, A.M. and Salazar-Sánchez, M.B. and Muñoz-Ortega, I.C.",Q4
SALAZAR SANCHEZ MARIA BERNARDA,MEDICAL LEARNING TOOL FOR VENTILATOR WEANING PROTOCOLS,Colombia,Revista EIA,2020,jun,1 - 12,Universidad EIA,10.24050/reia.v17i34.1416,1794-1237,https://doi.org/10.24050%2Freia.v17i34.1416,17.0,34,Juan Camilo Mesa Agudelo and Maria Bernarda Salazar Sánchez,
SALAZAR SANCHEZ MARIA BERNARDA,MODELING OF HEART RATE VARIABILITY AND RESPIRATORY MUSCLE ACTIVITY IN ORGANOPHOSPHATE POISONED PATIENTS,,IEEE journal of biomedical and health informatics,2019,01,2455 - 2463,Ieee Inst Electrical Electronics Engineers Inc,10.1109/jbhi.2019.2894758,2168-2194,,,,Salazar Sanchez MB and Hernandez AM and Manyanas MA and Cortes Daza C,Q1
SALAZAR SANCHEZ MARIA BERNARDA,POTENTIAL CLINICAL APPLICATION OF SURFACE ELECTROMYOGRAPHY AS INDICATOR OF NEUROMUSCULAR RECOVERY DURING WEANING TESTS AFTER ORGANOPHOSPHATE POISONING,Brasil,Revista Brasileira de terapia intensiva,2017,,253 - 258,Associacao de Medicina Intensiva Brasileira,10.5935/0103-507X.20170035,1982-4335,,,,Sánchez MBS and Valdivieso AMH and Villanueva MÁM and Salazar AFZ,Q2
SALAZAR SANCHEZ MARIA BERNARDA,VIRTUAL LABORATORY FOR SIMULATION AND LEARNING OF CARDIOVASCULAR SYSTEM FUNCTION IN BME STUDIES,Colombia,Revista Facultad de Ingeniería Universidad de Antioquia,2011,,194--201,Universidad de Antioquia,,0120-6230,,,60,"Valdivieso, Hernández and Mauricio, Alher and Salazar Sánchez, María Bernarda and Urrego Higuita, David Alexander and Costa Castelló, Ramon and Mañanas Villanueva, Miguel Ángel",
SANTAMARIA GALVIS ANDRES DAVID,ESTUDIO EXPERIMENTAL DEL PROBLEMA 2+P-COL ALEATORIO,Colombia,Matematicas: Enseñanza Universitaria,2007,,41 - 50,Litocencoa,,0120-6788,,,,,
SIERRA DUQUE CARLOS MARIO,FUZZY CELLULAR AUTOMATA AND INTUITIONISTIC FUZZY SETS APPLIED TO AN OPTICAL FREQUENCY COMB SPECTRAL SHAPE,,,2017,,181 - 194,Pergamon-Elsevier Science Ltd,10.1016/j.engappai.2017.04.001,0952-1976,,,,,
SIERRA DUQUE CARLOS MARIO,"INCLUSION DE UN INDICE DE ESTIMACION DE INCERTIDUMBRE, DISTRIBUCION Y COHESION DE DATOS EN EL MODELAMIENTO BORROSO",Colombia,Avances En Sistemas E Informática,2007,,47 - 58,Universidad Nacional De Colombia Sede Medellin,,1657-7663,,,,,
SIERRA DUQUE CARLOS MARIO,INICIACION EN LA TEORÍA DE CONJUNTOS BORROSOS II,Colombia,REVISTA FACULTAD DE INGENIERIA UNIVERSIDAD DE ANTIOQUIA,1996,,5 - 8,Universidad De Antioquia,,0120-6230,,,,,
SIERRA DUQUE CARLOS MARIO,INICIACION EN LA TEORÍA DE LOS CONJUNTOS BORROSOS I,Colombia,REVISTA FACULTAD DE INGENIERIA UNIVERSIDAD DE ANTIOQUIA,1996,,27 - 33,Universidad De Antioquia,,0120-6230,,,,,
SIERRA DUQUE CARLOS MARIO,QUÉ ES LA INCERTIDUMBRE?,Colombia,REVISTA FACULTAD DE INGENIERIA UNIVERSIDAD DE ANTIOQUIA,1996,,12 - 18,Universidad De Antioquia,,0120-6230,,,,,
SIERRA DUQUE CARLOS MARIO,STUDIA: AN APPLICATION TO SUPPORT CARBOHYDRATE COUNTING BY SIMULATING GLUCOSE DYNAMICS,Colombia,Revista Colombiana De Endocrinologia Diabetes Metabolismo,2022,,470 - 480,,10.53853/encr.9.4.770,2805-5853,,,,,
SIERRA DUQUE CARLOS MARIO,TWO FUZZINESS INDEXES PROPOSED BY KAUFMANN: OBSERVATIONS ABOUT THEM,Argentina,JOURNAL OF COMPUTER SCIENCE Y TECHNOLOGY,2009,,17 - 20,"Facultad de Informatica, Universidad Nacional de La Plata",,1666-6038,,,,,Q4
TAMAYO HERRERA ANTONIO JESUS,A QUANTITATIVE EXPLORATION TO DIRECTIONALITY AMONG SWORN TRANSLATORS AND INTERPRETERS IN COLOMBIA,Colombia,MUTATIS MUTANDIS,2021,,601 - 622,Universidad De Antioquia,10.17533/udea.mut.v14n2a15,2011-799X,,,,,Q2
TAMAYO HERRERA ANTONIO JESUS,AUGMENTING A SPANISH CLINICAL DATASET FOR TRANSFORMER-BASED LINKING OF NEGATIONS AND THEIR OUT-OF-SCOPE REFERENCES,Inglaterra,Natural Language Processing,2024,,1 - 34,Cambridge Univ Press,10.1017/nlp.2024.10,2977-0424,https://doi.org/10.1017/nlp.2024.10,,,Antonio Jesús Tamayo-Herrera; Diego A. Burgos; Alexander Gelbukh,
TAMAYO HERRERA ANTONIO JESUS,CLINICAL TEXT MINING IN SPANISH ENHANCED BY NEGATIONDETECTION AND NAMED ENTITY RECOGNITION,México,COMPUTACION Y SISTEMAS,2023,,1169 - 1181,Centro de Investigacion en Computacion (CIC) del Instituto Politecnico Nacional (IPN),,1405-5546,,,,,Q3
TAMAYO HERRERA ANTONIO JESUS,DETECCIÓN DEL ALCANCE DE LAS NEGACIONES EN ESPAÑOL USANDO CONDITIONAL RANDOM FIELDS,México,Research In Computing Science,2022,,199 - 212,,,1665-9899,,,,,
TAMAYO HERRERA ANTONIO JESUS,MBERT AND SIMPLE POST-PROCESSING: A BASELINE FOR DISEASE MENTION DETECTION IN SPANISH,,CEUR WORKSHOP PROCEEDINGS,2022,,350 - 356,,,1613-0073,,,,,
TAMAYO HERRERA ANTONIO JESUS,PARTNER: PARAGRAPH TUNING FOR NAMED ENTITY RECOGNITION ON CLINICAL CASES IN SPANISH USING MBERT + RULES,,CEUR WORKSHOP PROCEEDINGS,2022,,NA - NA,,,1613-0073,,,,,
TAMAYO HERRERA ANTONIO JESUS,SENTIMENT ANALYSIS OF NEWS ARTICLES IN SPANISH USING PREDICATE FEATURES,Colombia,Lenguaje,2019,jul,235--267,Universidad del Valle,10.25100/lenguaje.v47i2.7937,2539-3804,https://doi.org/10.25100%2Flenguaje.v47i2.7937,47.0,2,Antonio Tamayo and Julián Arias Londoño and Diego Burgos and Gabriel Quiroz,
TAMAYO HERRERA ANTONIO JESUS,USING TRANSFORMERS ON NOISY VS. CLEAN DATA FOR PARAPHRASE IDENTIFICATION IN MEXICAN SPANISH,,CEUR WORKSHOP PROCEEDINGS,2022,,NA - NA,,,1613-0073,,,,,
TAMAYO HERRERA ANTONIO JESUS,¿TIENE CARÁCTER PREDICTIVO LA ESTRUCTURA PREDICATIVA [VERBO +OBJETO DIRECTO]? HACIA UNA CARACTERIZACIÓN SINTÁCTICO-SEMÁNTICA PARA PROPÓSITOS DE ANÁLISIS DE SENTIMIENTOS,Colombia,LINGUISTICA Y LITERATURA,2020,,11 - 35,,10.17533/udea.lyl.n78a01,0120-5587,,,,,
URIBE GUERRA GABRIEL DARIO,FEED FORMULATION USING MULTI-OBJECTIVE BAYESIAN OPTIMIZATION,,Computers and Electronics in Agriculture,2024,,,,10.1016/j.compag.2024.109173,,https://doi.org/10.1016/j.compag.2024.109173,,,Gabriel D. Uribe-Guerra; Danny A. Múnera-Ramírez; Julián D. Arias-Londoño,Q1
VALDERRAMA MUÑOZ ANGELA MARIA,"APORTES DE LA REVISIÓN DE LITERATURA AL DISEÑO DE UNA RUTA DE APROPIACIÓN TIC, VINCULADA CON EL MODELO TECNOLÓGICO-PEDAGÓGICO-DISCIPLINAR",,Revista Virtual Universidad Católica del Norte,2021,,,,10.35575/rvucn.n62a11,,https://doi.org/10.35575/rvucn.n62a11,,,Marisol Lopera Pérez; Vanessa Arias; María Mercedes Jiménez; Diana Patricia Ospina Pineda; Ángela María Valderrama Muñoz,
VALDERRAMA MUÑOZ ANGELA MARIA,RUTA DE APROPIACIÓN DE LAS TIC PARA PROFESORES DE EDUCACIÓN SUPERIOR FUNDAMENTADA EN EL MODELO TECNOLÓGICO PEDAGÓGICO DISCIPLINAR,,Virtu@lmente,2020,nov,,Universidad EAN,10.21158/2357514x.v8.n2.2020.2721,,https://doi.org/10.21158%2F2357514x.v8.n2.2020.2721,8.0,2,Diana Patricia Ospina-Pineda and Ángela María Valderrama-Muñoz and María Mercedes Jiménez-Narváez and Vanessa Arias-Gil and Marisol Lopera-Pérez and Herlaynne Segura-Jiménez,
